taxon_input,accepted_name,aphia_id,rank,taxon_status,functional_role_str,pocillopora_association,max_length_mm,depth_min_m,depth_max_m,n_obis_records,range_summary,n_sources,notes
Oreotlos,Oreotlos,439441.0,genus,accepted,unknown,unknown,,50.0,97.0,4,unknown,2, Depth from OBIS (4 occurrence records).
Pagurixus,Pagurixus,204996.0,genus,accepted,unknown,unknown,,9.0,95.0,2,unknown,2, Depth from OBIS (2 occurrence records).
Paragrubia,Paragrubia,205000.0,genus,accepted,unknown,unknown,,,,0,unknown,2, OBIS queried; no depth data available.
Pascula,Pascula,205373.0,genus,accepted,unknown,unknown,,0.0,25.0,5,unknown,2, Depth from OBIS (5 occurrence records).
Periclimenaeus,Periclimenaeus,205820.0,genus,accepted,unknown,unknown,,33.0,33.0,2,unknown,2, Depth from OBIS (2 occurrence records).
Periclimenes,Periclimenes,107035.0,genus,accepted,unknown,facultative,,0.0,445.0,6,unknown,2, Association inferred from genus-level reference data. Depth from OBIS (6 occurrence records).
Prionalpheus,Prionalpheus,514039.0,genus,accepted,commensal; bioeroder,facultative,,,,0,unknown,2, OBIS queried; no depth data available.
Rissoina,Rissoina,138457.0,genus,accepted,unknown,unknown,,3.0,4.0,1,unknown,2, Depth from OBIS (1 occurrence records).
Scorpaenodes,Scorpaenodes,126172.0,genus,accepted,unknown,unknown,,1.0,3.5,2,unknown,2, Depth from OBIS (2 occurrence records).
Trivirostra,Trivirostra,206759.0,genus,accepted,unknown,unknown,,5.0,304.0,4,unknown,2, Depth from OBIS (4 occurrence records).
Unciola,Unciola,101474.0,genus,accepted,unknown,unknown,,36.0,1276.0,8,unknown,2, Depth from OBIS (8 occurrence records).
Vexillum,Vexillum,137846.0,genus,accepted,unknown,unknown,,0.0,5.0,2,unknown,2, Depth from OBIS (2 occurrence records).
Zafra,Zafra,182802.0,genus,accepted,unknown,unknown,,4.0,25.0,3,unknown,2, Depth from OBIS (3 occurrence records).
Alpheidae,Alpheidae,106776.0,family,accepted,commensal; bioeroder,facultative,,0.0,59.0,3,unknown,2, Depth from OBIS (3 occurrence records).
Amphinomidae,Amphinomidae,960.0,family,accepted,unknown,unknown,,0.0,339.0,10,unknown,2, Depth from OBIS (10 occurrence records).
Axiidae,Axiidae,106798.0,family,accepted,unknown,unknown,,0.0,640.0,4,unknown,2, Depth from OBIS (4 occurrence records).
Capitellidae,Capitellidae,921.0,family,accepted,unknown,unknown,,0.0,1011.0,7,unknown,2, Depth from OBIS (7 occurrence records).
Columbellidae,Columbellidae,23009.0,family,accepted,unknown,unknown,,0.0,130.0,5,unknown,2, Depth from OBIS (5 occurrence records).
Cypraeidae,Cypraeidae,23022.0,family,accepted,unknown,unknown,,4.6,15.5,8,unknown,2, Depth from OBIS (8 occurrence records).
Diogenidae,Diogenidae,106736.0,family,accepted,unknown,unknown,,-1.0,12.0,5,unknown,2, Depth from OBIS (5 occurrence records).
Eunicidae,Eunicidae,966.0,family,accepted,unknown,unknown,,0.0,91.0,5,unknown,2, Depth from OBIS (5 occurrence records).
Galatheidae,Galatheidae,106733.0,family,accepted,unknown,unknown,,10.0,5774.0,8,unknown,2, Depth from OBIS (8 occurrence records).
Glyceridae,Glyceridae,952.0,family,accepted,unknown,unknown,,51.7,155.0,4,unknown,2, Depth from OBIS (4 occurrence records).
Gobiidae,Gobiidae,125537.0,family,accepted,commensal,facultative,,4.0,59.0,6,unknown,2, Depth from OBIS (6 occurrence records).
Hesionidae,Hesionidae,946.0,family,accepted,unknown,unknown,,0.0,2774.0,5,unknown,2, Depth from OBIS (5 occurrence records).
Hippolytidae,Hippolytidae,106777.0,family,accepted,unknown,unknown,,0.0,37.0,10,unknown,2, Depth from OBIS (10 occurrence records).
Hipponicidae,Hipponicidae,23057.0,family,accepted,unknown,unknown,,-0.73,0.0,2,unknown,2, Depth from OBIS (2 occurrence records).
Labridae,Labridae,125541.0,family,accepted,unknown,unknown,,3.0,61.9,9,unknown,2, Depth from OBIS (9 occurrence records).
Leucothoidae,Leucothoidae,101393.0,family,accepted,unknown,unknown,,55.0,122.0,2,unknown,2, Depth from OBIS (2 occurrence records).
Majidae,Majidae,106760.0,family,accepted,unknown,unknown,,3.0,277.0,4,unknown,2, Depth from OBIS (4 occurrence records).
Marginellidae,Marginellidae,23025.0,family,accepted,unknown,unknown,,0.3000000119,85.0,3,unknown,2, Depth from OBIS (3 occurrence records).
Melitidae,Melitidae,101397.0,family,accepted,unknown,unknown,,0.0,61.0,5,unknown,2, Depth from OBIS (5 occurrence records).
Muricidae,Muricidae,148.0,family,accepted,unknown,unknown,,5.2,296.0,3,unknown,2, Depth from OBIS (3 occurrence records).
Nereididae,Nereididae,22496.0,family,accepted,unknown,unknown,,0.0,117.0,5,unknown,2, Depth from OBIS (5 occurrence records).
Opheliidae,Opheliidae,924.0,family,accepted,unknown,unknown,,7.0,446.0,6,unknown,2, Depth from OBIS (6 occurrence records).
Paguridae,Paguridae,106738.0,family,accepted,unknown,unknown,,4.9,106.0,6,unknown,2, Depth from OBIS (6 occurrence records).
Palaemonidae,Palaemonidae,106788.0,family,accepted,unknown,unknown,,0.0,45.0,6,unknown,2, Depth from OBIS (6 occurrence records).
Phyllodocidae,Phyllodocidae,931.0,family,accepted,unknown,unknown,,4.0,291.0,6,unknown,2, Depth from OBIS (6 occurrence records).
Pilumnidae,Pilumnidae,106766.0,family,accepted,unknown,unknown,,22.0,33.0,4,unknown,2, Depth from OBIS (4 occurrence records).
Polynoidae,Polynoidae,939.0,family,accepted,unknown,unknown,,5.0,117.99,8,unknown,2, Depth from OBIS (8 occurrence records).
Spionidae,Spionidae,913.0,family,accepted,unknown,unknown,,0.0,117.0,7,unknown,2, Depth from OBIS (7 occurrence records).
Syllidae,Syllidae,948.0,family,accepted,unknown,unknown,,10.0,2273.0,8,unknown,2, Depth from OBIS (8 occurrence records).
Terebellidae,Terebellidae,982.0,family,accepted,unknown,unknown,,-1.0,357.0,7,unknown,2, Depth from OBIS (7 occurrence records).
Triphoridae,Triphoridae,131.0,family,accepted,unknown,unknown,,10.0,11.0,2,unknown,2, Depth from OBIS (2 occurrence records).
Trochidae,Trochidae,443.0,family,accepted,unknown,unknown,,-1.62,35.7,5,unknown,2, Depth from OBIS (5 occurrence records).
Xanthidae,Xanthidae,106769.0,family,accepted,unknown,unknown,,36.58,327.0,2,unknown,2, Depth from OBIS (2 occurrence records).
Coralliophilinae,Coralliophilinae,411789.0,subfamily,accepted,unknown,unknown,,1.0,255.0,7,unknown,2, Depth from OBIS (7 occurrence records).
Ophiolepis cincta cincta,Ophiolepis cincta cincta,224123.0,subspecies,accepted,unknown,unknown,,1.0,25.0,6,unknown,2, Depth from OBIS (6 occurrence records).
